Depth,Density
203.275880094574,1028.31570213767
204.964861637097,1028.32227899428
206.653829317608,1028.32918649901
207.846033452356,1028.33572739109
208.442132929802,1028.33955435564
209.833024996087,1028.34391695821
211.323256064702,1028.35292756529
212.813476343115,1028.35831342552
213.707603331064,1028.36366252163
214.303685831802,1028.36827128395
215.197806346142,1028.37423687157
216.886690053924,1028.38097799032
217.681454062686,1028.38224999286
218.674904758375,1028.38772008828
219.370317392559,1028.39244985768
220.264415898756,1028.39652000458
222.251287564528,1028.40573009889
223.642086320544,1028.4118954223
224.138797884854,1028.41415642074
225.231559107787,1028.41789787523
227.417064152785,1028.42139694144
228.31112771163,1028.42605389288
229.205187387947,1028.43568772332
230.297921719917,1028.44639070914
231.191972768762,1028.45079134327
232.78138726999,1028.45695868813
233.774765102826,1028.46259346303
