Salinity[psu],Temperature[celsius],Pressure[dbar],Depth[m],Density[kg_m3]
34.79,25.95,86.4,85.90736686182676,1023.2640463178111
34.79,25.95,86.4,85.90736686182676,1023.2640463178111
34.79,25.93,86.4,85.90736686182676,1023.2702804100468
34.79,25.88,86.4,85.90736686182676,1023.2858522802957
34.78,25.85,86.4,85.90736686182676,1023.2876449883125
34.77,25.83,86.4,85.90736686182676,1023.2863220939761
34.77,25.81,86.4,85.90736686182676,1023.2925373462947
34.77,25.78,86.4,85.90736686182676,1023.3018544888762
34.77,25.76,86.3,85.80795782648374,1023.3076321381509
34.78,25.75,86.3,85.80795782648374,1023.3182772595585
34.79,25.73,86.2,85.70854874300649,1023.3315933080299
34.79,25.72,86.1,85.60913961139491,1023.3342639180468
34.79,25.72,86.0,85.5097304316488,1023.3338339347903
34.79,25.73,85.9,85.41032120376808,1023.3303033862666
34.79,25.72,85.7,85.21150260360213,1023.332543979779
34.79,25.72,85.6,85.11209323131662,1023.3321139930279
34.79,25.72,85.5,85.01268381089591,1023.3316840054031
34.79,25.71,85.3,84.81386482564831,1023.333923770184
34.79,25.71,85.1,84.6150456478582,1023.3330637701375
34.79,25.71,85.0,84.51563598675932,1023.3326337688038
34.79,25.71,84.8,84.31681652015331,1023.3317737635152
34.79,25.71,84.6,84.117996861002,1023.3309137547317
34.79,25.71,84.5,84.01858695922147,1023.3304837490293
34.79,25.71,84.4,83.9191770093042,1023.3300537424533
34.79,25.71,84.2,83.7203569650588,1023.3291937266799
34.79,25.71,84.0,83.52153672826466,1023.3283337074116
34.79,25.71,83.7,83.22330601204217,1023.3270436719562
34.79,25.71,83.5,83.02448529387131,1023.3261836439505
34.79,25.71,83.3,82.82566438314778,1023.3253236124497
34.79,25.72,83.2,82.72625385557842,1023.3217940488942
34.79,25.74,83.1,82.62684327987044,1023.3151626685874
34.79,25.75,82.9,82.4280219840382,1023.3112008704293
34.78,25.76,82.7,82.22920049564989,1023.2996957567913
34.78,25.77,82.4,81.93096790202236,1023.2953026382305
34.78,25.8,82.2,81.73214593223895,1023.2851286335778
34.78,25.83,82.1,81.63273487513732,1023.2753777728026
34.78,25.89,81.9,81.43391261651352,1023.2558555716839
34.79,25.94,81.5,81.03626752157965,1023.2461036746382
34.8,25.97,81.1,80.63862165638996,1023.2425713420502
34.8,26.0,80.8,80.34038675201191,1023.2319217003543
34.8,26.02,80.5,80.04215141435606,1023.2243884645819
34.81,26.04,80.3,79.84332761520704,1023.2248212729468
34.81,26.05,80.1,79.64450362348731,1023.2208370905454
34.81,26.06,79.9,79.44567943919573,1023.2168521791077
34.81,26.07,79.7,79.24685506233118,1023.2128665387149
34.81,26.07,79.5,79.04803049289251,1023.2120071281868
34.81,26.08,79.3,78.8492057308786,1023.2080207737519
34.82,26.09,79.1,78.65038077628829,1023.2115724283575
34.82,26.1,78.9,78.45155562912053,1023.2075845013067
34.82,26.1,78.7,78.25273028937411,1023.206725142265
34.81,26.11,78.5,78.05390475704797,1023.1951979832098
34.81,26.11,78.3,77.85507903214092,1023.1943386249661
34.81,26.11,78.1,77.65625311465186,1023.1934792632306
34.81,26.11,77.9,77.45742700457969,1023.1926198980035
34.81,26.11,77.6,77.15918747837553,1023.1913308436159
34.81,26.11,77.3,76.86094751885298,1023.1900417813719
34.81,26.11,77.1,76.66212063843695,1023.1891824021778
34.8,26.11,76.9,76.46329356543211,1023.1807844608029
34.8,26.11,76.7,76.26446629983738,1023.1799250641127
34.8,26.11,76.5,76.0656388416516,1023.1790656639305
34.8,26.11,76.3,75.86681119087368,1023.1782062602564
34.8,26.11,76.1,75.66798334750243,1023.1773468530903
34.8,26.12,75.9,75.46915531153678,1023.1733578912879
34.8,26.13,75.7,75.27032708297554,1023.1693682008473
34.8,26.14,75.4,74.97208437901458,1023.1649480991351
34.8,26.14,75.2,74.77325566895954,1023.1640887310867
34.8,26.15,75.0,74.57442676630498,1023.160097605763
34.8,26.15,74.9,74.47501224275256,1023.1596679278122
34.8,26.15,74.7,74.27618305119664,1023.158808569292
34.8,26.15,74.5,74.07735366703837,1023.1579492072799
34.79,26.15,74.3,73.87852409027664,1023.1495516920505
34.79,26.15,74.1,73.67969432091036,1023.1486923125464
34.79,26.14,73.9,73.48086435893838,1023.1509644574608
34.78,26.14,73.7,73.28203420435952,1023.1425667895988
34.78,26.14,73.5,73.08320385717269,1023.1417073708487
34.78,26.14,73.3,72.88437331737677,1023.1408479486064
34.78,26.14,73.2,72.78495797525007,1023.1404182361756
34.78,26.15,73.0,72.58612714653837,1023.1364274884162
34.78,26.15,72.8,72.38729612521477,1023.1355680757048
34.78,26.16,72.6,72.18846491127812,1023.1315766141281
34.78,26.16,72.4,71.9896335047273,1023.1307172126841
34.78,26.17,72.3,71.89021772922119,1023.1271547311355
34.78,26.18,72.2,71.79080190556115,1023.1235915055408
34.78,26.19,72.1,71.69138603374697,1023.1200275359959
34.79,26.19,72.1,71.69138603374697,1023.1275652562333
34.78,26.19,72.1,71.69138603374697,1023.1200275359959
34.78,26.19,72.2,71.79080190556115,1023.1204572124254
34.79,26.2,72.3,71.89021772922119,1023.1252894090238
34.79,26.2,72.5,72.08904923207955,1023.1261487288032
34.79,26.2,72.7,72.28788054232315,1023.127008045091
34.78,26.19,72.9,72.48671165995316,1023.1234649229896
34.78,26.18,73.2,72.78495797525007,1023.1278883129337
34.78,26.17,73.5,73.08320385717269,1023.1323109884462
34.78,26.16,73.8,73.38144930572486,1023.1367329494601
34.78,26.16,74.0,73.58027936400015,1023.1375923264601
34.78,26.16,74.3,73.87852409027664,1023.1388813854128
34.78,26.16,74.6,74.17676838319284,1023.1401704365089
34.78,26.15,75.0,74.57442676630498,1023.1450214234677
34.78,26.15,75.5,75.07149866181764,1023.1471698526689
34.78,26.15,75.9,75.46915531153678,1023.1488885803166
34.78,26.15,76.3,75.86681119087368,1023.1506072939972
34.78,26.15,76.8,76.36387995670854,1023.152755666457
34.78,26.15,77.3,76.86094751885298,1023.1549040170937
34.79,26.15,77.8,77.35801387732455,1023.1645902681441
34.79,26.15,78.2,77.75566609746922,1023.1663088944686
34.79,26.15,78.6,78.15331754728358,1023.1680275068273
34.79,26.15,78.9,78.45155562912053,1023.1693164569316
34.79,26.14,79.2,78.74979327765556,1023.1737374109347
34.79,26.14,79.5,79.04803049289251,1023.1750263727134
34.8,26.13,79.8,79.34626727483516,1023.1869847434657
34.8,26.13,80.1,79.64450362348731,1023.1882737011695
34.8,26.13,80.4,79.9427395388528,1023.1895626510177
34.8,26.13,80.7,80.24097502093545,1023.1908515930106
34.8,26.13,81.0,80.53921006973903,1023.1921405271482
34.8,26.12,81.4,80.93685612749407,1023.1969899092144
34.8,26.11,81.8,81.33450141499104,1023.2018385889947
34.8,26.09,82.1,81.63273487513732,1023.2093855004965
34.8,26.08,82.4,81.93096790202236,1023.2138023682959
34.8,26.06,82.6,82.12978967924684,1023.2209151926091
34.79,26.04,82.8,82.32861126391361,1023.220485953987
34.79,26.02,83.0,82.52743265602376,1023.2275925797558
34.79,26.0,83.2,82.72625385557842,1023.2346962255239
34.79,25.99,83.3,82.82566438314778,1023.238246930667
34.78,25.98,83.5,83.02448529387131,1023.2346868957159
34.78,25.94,83.7,83.22330601204217,1023.2480192224835
34.79,25.91,83.9,83.42212653766148,1023.2657660840524
34.79,25.89,84.1,83.62094687073039,1023.272853292551
