Salinity[psu],Temperature[celsius],Pressure[dbar],Density[kg_m3],Depth[m]
32.4452,9.9513,55.593,1025.2184827485876,55.28014793715588
32.4486,9.9438,56.5038,1025.2265149429936,56.18569833403465
32.4473,9.9439,57.2362,1025.2288080880849,56.91387408095911
32.4483,9.9502,58.0064,1025.2320355542051,57.679629021695916
32.4468,9.9421,58.5271,1025.2345755374504,58.19732228401107
32.4556,9.9196,59.0739,1025.2476593261536,58.74096342814284
32.4478,9.9649,59.567,1025.2362806276371,59.23121356132925
32.4457,9.9641,59.7918,1025.2357960713161,59.45471394313315
32.447,9.9645,60.2994,1025.239046531067,59.9593785005697
32.4454,9.9681,60.7708,1025.239338045389,60.42805129047342
32.4482,9.957,61.4481,1025.2464432811107,61.101431004659375
32.4519,9.9394,62.0384,1025.254935992708,61.688312482106255
32.4792,9.8293,62.723,1025.2975904194918,62.36894575097563
32.4974,9.7855,63.28,1025.3215478760897,62.9227166982659
32.4889,9.7317,63.9239,1025.326691385258,63.56288200468947
32.5066,9.7082,64.3315,1025.3462138068492,63.96811684593976
32.5046,9.6827,64.9421,1025.351606439049,64.57517225268867
32.5043,9.6688,65.4961,1025.3561646178243,65.12595467426773
32.5102,9.6624,66.0255,1025.3642218423709,65.65227858905182
32.5032,9.7008,66.5491,1025.3548457222455,66.1728348770767
32.5112,9.6629,67.1626,1025.370085625482,66.78276689216099
32.5121,9.6672,67.6935,1025.3724957004883,67.31057782814906
32.5137,9.6604,68.1387,1025.3768797569305,67.75318636676606
32.5239,9.6118,68.7,1025.3953335557062,68.311217739363
32.5252,9.6218,69.1032,1025.3965477022136,68.71206884183545
32.5228,9.6164,69.4557,1025.3971572082726,69.06251466275708
32.5215,9.6211,69.8023,1025.3969495942667,69.4070942822298
32.5279,9.611,70.0605,1025.4047673549887,69.66378882181986
32.523,9.622,70.3767,1025.4005828682562,69.97814474939719
32.5394,9.577,70.7639,1025.4224843615166,70.3630859505279
32.5535,9.5638,71.3252,1025.438192314457,70.9211102269845
32.535,9.6136,71.7748,1025.417673010185,71.36808528568004
32.5375,9.6068,72.3477,1025.4233372037293,71.93763906014411
32.5415,9.5886,72.8684,1025.4317944679356,72.45529635617982
32.5462,9.5663,73.3499,1025.441285060571,72.93398155508893
32.5893,9.5125,73.8112,1025.4857813895046,73.39258379407929
32.5961,9.5104,74.078,1025.492644519156,73.65782303452153
32.5852,9.5166,74.2173,1025.483759412316,73.79630800399877
32.5956,9.5101,74.5784,1025.4945766385445,74.15529480858052
32.571,9.571,75.1687,1025.468143948619,74.74213895840644
32.5735,9.563,75.1484,1025.4713070649962,74.72195783050995
32.5742,9.5576,75.4936,1025.4743014068063,75.06513614916042
32.5795,9.5502,75.7358,1025.4807445913423,75.30591735003989
32.575,9.5574,76.2362,1025.4783322524088,75.80338512975767
32.6073,9.5007,76.5944,1025.5143995499936,76.15948542591374
32.6158,9.4845,76.9208,1025.5251491866368,76.48397158999774
32.6257,9.4667,77.1093,1025.5366227984464,76.67136609264575
32.6653,9.3978,77.6155,1025.5809955653383,77.17459653117841
32.6833,9.3646,78.1304,1025.6027510239371,77.68647466652176
32.6765,9.3809,78.9411,1025.5984966648937,78.4924142125846
32.6734,9.3873,79.7911,1025.5989063099164,79.337419589874
32.6955,9.356,80.7208,1025.6254427152269,80.26165266496471
32.6954,9.3561,81.3792,1025.6283414228258,80.9161785514762
32.6949,9.3565,82.0377,1025.6308797297024,81.57080176222507
32.6946,9.3586,82.6019,1025.6328715811378,82.13167848520715
32.6904,9.3654,83.3053,1025.6316917676345,82.83093313976568
32.6935,9.3614,83.9739,1025.6377973475792,83.4955906731596
32.6893,9.3692,84.8514,1025.6372471090638,84.3679131414544
32.6929,9.3657,85.7289,1025.6446121525357,85.24023190322697
32.7116,9.3477,86.5411,1025.6658136375072,86.04763292882159
32.717,9.3456,87.3591,1025.6740884476983,86.86079647513367
