Salinity[psu],Temperature[celsius],Pressure[dbar],Depth[m],Density[kg_m3]
34.81,18.15,198.3,197.11594757876233,1025.9600179118577
34.81,18.14,198.7,197.5133681447026,1025.964269232487
34.8,18.16,199.0,197.81143306540957,1025.9529340129118
34.8,18.16,198.9,197.71207813981633,1025.9524964649852
34.78,18.08,199.6,198.40756161148715,1025.9602584744082
34.79,18.01,199.5,198.30820697374514,1025.9849129880233
34.8,18.0,200.0,198.80497968270944,1025.9972379953645
34.8,18.01,200.8,199.59981352240365,1025.9982507837183
34.79,17.93,200.9,199.69916753648533,1026.0109299950923
34.78,17.92,200.9,199.69916753648533,1026.0057636943254
34.79,17.93,201.3,200.09658311308453,1026.0126813784732
34.79,17.92,201.9,200.6927050388164,1026.0177907741756
34.78,17.87,202.2,200.99076535406542,1026.023854144789
34.77,17.9,202.6,201.3881784361366,1026.0105205965808
34.78,17.9,202.8,201.58688468934866,1026.0190450488187
34.78,17.91,203.1,201.88494370939046,1026.0178780447495
34.78,17.91,203.2,201.98429662013126,1026.0183159053252
34.78,17.86,203.8,202.58041307721828,1026.0333381003347
34.77,17.82,204.5,203.2758800945743,1026.0386546147533
34.77,17.83,204.3,203.07717547231383,1026.035304897805
34.78,17.83,204.8,203.57393666820664,1026.045144416517
34.77,17.82,205.1,203.8719928101322,1026.0412824616528
34.77,17.87,205.2,203.97134476150663,1026.0293424200386
34.77,17.85,205.5,204.26940032782932,1026.0356099887172
34.78,17.83,206.2,204.96486163709721,1026.0512756974451
34.77,17.82,206.7,205.46161827617973,1026.0482898955083
34.77,17.82,206.5,205.2629157644419,1026.0474139788346
34.78,17.85,207.3,206.05772466024393,1026.0511417641173
34.78,17.84,207.3,206.05772466024393,1026.0536178162192
34.77,17.9,208.0,206.75317992596365,1026.034165080199
34.8,17.99,208.2,206.95188099878672,1026.0356202378462
34.77,17.96,208.3,207.05123146325423,1026.0205786485426
34.77,17.75,208.8,207.5479830661572,1026.0747833624391
34.77,17.75,208.8,207.5479830661572,1026.0747833624391
34.76,17.76,209.5,208.24343329583024,1026.0677306038426
34.77,17.73,209.8,208.54148267484663,1026.0840980681041
34.76,17.72,210.6,209.33627890864383,1026.0824173718408
34.76,17.67,210.5,209.23692954727807,1026.0942956134545
34.76,17.59,211.3,210.03172309535282,1026.1174628244787
34.75,17.62,211.6,210.3297698845655,1026.1037579201377
34.76,17.68,211.4,210.13107207304847,1026.0957771297647
34.75,17.59,211.9,210.62781624215737,1026.1124391156502
34.75,17.68,212.1,210.8265135740979,1026.091192263395
34.75,17.55,212.5,211.22390766249436,1026.1248789156052
34.75,17.55,212.8,211.5219527252469,1026.1261937774073
34.75,17.51,213.1,211.819997356394,1026.137305532586
34.75,17.5,213.4,212.1180415559393,1026.1410676517696
34.76,17.54,214.2,212.91282397803622,1026.1424341711672
34.76,17.47,214.1,212.8134763431153,1026.1591274687707
34.75,17.5,214.7,213.4095614333306,1026.1467661233278
34.75,17.48,215.0,213.70760333106415,1026.1529731997753
34.75,17.47,215.2,213.9062976897875,1026.1562946887223
34.75,17.46,215.5,214.20433886822693,1026.1600537520546
34.75,17.43,215.5,214.20433886822693,1026.1673803883623
34.74,17.43,216.1,214.80041993039544,1026.1623554792907
34.74,17.36,216.8,215.49584565446602,1026.1824897709769
34.74,17.39,216.9,215.59519199467277,1026.175619736991
34.74,17.38,217.3,215.9925768759971,1026.1798107448833
34.75,17.39,217.1,215.79388453123514,1026.1841527518848
34.73,17.47,217.7,216.3899609901238,1026.1519444135697
34.76,17.45,217.6,216.29061503351636,1026.1793581226664
34.75,17.38,218.1,216.78734433706194,1026.190974784657
34.74,17.28,218.4,217.08538134380345,1026.2089590081134
34.74,17.31,219.2,217.880144585399,1026.205179196084
34.74,17.3,219.3,217.97948977483472,1026.2080482191263
34.74,17.26,220.4,219.0722836941533,1026.222586326117
34.74,17.26,220.3,218.97293903212733,1026.2221476981822
34.73,17.23,220.6,219.27097287436882,1026.2230814196819
34.74,17.23,220.7,219.37031739255872,1026.231178547827
34.74,17.22,220.9,219.56900628510346,1026.2344796199998
34.73,17.26,221.2,219.86703926433484,1026.2184373894775
34.74,17.23,221.7,220.3637599375017,1026.235565171553
34.74,17.14,221.8,220.4631039283035,1026.257787367318
34.73,17.13,222.6,221.25785412876257,1026.2560537654706
34.73,17.11,222.5,221.15851052150512,1026.2604443227672
34.73,17.09,223.1,221.75457144591678,1026.2679033044028
34.73,17.08,223.2,221.85391476552195,1026.2707538838602
34.72,17.08,223.7,222.35063064442716,1026.2652874503779
34.73,17.06,224.3,222.94668811706654,1026.2804024704012
34.73,17.05,224.6,223.24471620619408,1026.284128424913
34.73,17.01,224.7,223.3440588066905,1026.2941959402856
34.73,17.01,225.1,223.74142872928317,1026.2959517217123
34.73,17.0,225.5,224.13879788485357,1026.3001125807602
34.73,17.01,225.8,224.43682424817834,1026.2990243045501
34.73,17.01,226.0,224.635508250705,1026.2999021772591
