Depth[m],Density[kg_m3]
193.737841774517,1028.22695559901
194.830764427613,1028.22349963652
195.824325438002,1028.23996776696
196.917237007934,1028.25080178033
197.513368144703,1028.25306694662
198.506916201255,1028.2623322864
199.997229290894,1028.26525902579
200.990765354065,1028.27871225213
201.984296620131,1028.28987707834
202.779118179162,1028.30488131271
203.673288763482,1028.29392662992
204.269400327829,1028.29345402196
205.660320596059,1028.29726763454
206.455127957007,1028.29948731094
207.547983066157,1028.30496141161
209.137580137953,1028.31001425219
209.634326704986,1028.30886942371
210.429118718387,1028.31583596264
211.819997356394,1028.32322602982
212.61478092941,1028.32561324394
213.707603331064,1028.33131142991
215.197806346142,1028.33943050786
216.19126902896,1028.34071163849
217.780799348016,1028.35726543739
218.47621500281,1028.35903282672
219.668350659459,1028.3652366821
220.363759937502,1028.36839960503
221.853914765522,1028.38020179239
222.648659596479,1028.38800289353
223.443401359248,1028.39156039482
224.337482175008,1028.39461982594
225.827608239144,1028.40273361964
226.224973367994,1028.40264173782
227.615745279172,1028.40394112265
228.509807975224,1028.40538456879
229.403866788771,1028.40950824146
230.695278220916,1028.41689159517
231.489988922328,1028.4227397768
232.384034794933,1028.42278755949
234.072777518138,1028.43130900044
235.562833124996,1028.44104535921
236.556197539265,1028.44388840235
237.152213887619,1028.44671034526
238.840917506375,1028.45879852183
240.032935252507,1028.46756837962
241.324280024494,1028.47785141814
242.416950045355,1028.48404970808
243.112282494676,1028.486877501
244.800937240599,1028.48925369038
245.694925324205,1028.48762360183
246.886903399304,1028.49644718928
247.880213192195,1028.50621000118
248.674857577356,1028.51373223014
249.767488601034,1028.5093224958
250.46279623462,1028.5136545532
251.15810152105,1028.51921544039
252.350047980052,1028.51597872505
253.641315527144,1028.53110878429
254.535265241035,1028.538687454
255.528538150857,1028.54526911567
256.52180627128,1028.55073556191
257.117764844681,1028.55283144797
258.011699472099,1028.55767923055
259.700232073507,1028.56770439896
260.296181452043,1028.5702481685
261.090777941743,1028.57308060547
262.381990701081,1028.5772232286
263.176579146064,1028.58161874408
264.269133254136,1028.58658775802
265.262359233897,1028.5873638951
266.056936570322,1028.5918121661
267.05015393174,1028.6023012182
268.341329343885,1028.60906884544
269.135894806687,1028.6154746873
270.029777289923,1028.62071500702
271.320934030933,1028.62463474434
272.016168925054,1028.62695993505
273.40663167635,1028.63199898179
273.803905024857,1028.63302384656
275.293673260615,1028.63996492783
276.286846101164,1028.64849996619
277.478647191697,1028.65151832344
278.57112547001,1028.65553619955
279.266335904562,1028.65774787042
280.557434775475,1028.66177584252
281.252638509688,1028.66622041658
282.245782633529,1028.66950765079
283.536862840032,1028.6763261091
284.232056524471,1028.68216589428
284.92724786409,1028.68376345998
286.218311274024,1028.68762353926
287.012807814508,1028.68939369248
288.005924183661,1028.69630881754
289.197657510703,1028.70178248807
289.992142567665,1028.70388722492
291.18386441169,1028.71170487162
291.879032305751,1028.71536737511
292.872125230652,1028.72099831719
294.560372223485,1028.72917540069
295.354836612651,1028.73312184119
296.546527455888,1028.74105093644
297.539597896605,1028.74478395095
298.433357203379,1028.74745146827
299.327112635646,1028.75436081891
300.022253071023,1028.75595798796
300.717391162673,1028.7598993321
302.206964895712,1028.76717282269
303.100703970068,1028.77045406821
303.99443917045,1028.77546548377
304.888170496958,1028.77936050188
305.980503524247,1028.78527453331
306.874226242514,1028.78933685804
307.767945087237,1028.78904597331
308.760961482896,1028.79534590241
310.051875648354,1028.80484148785
310.746979928694,1028.80894981135
312.534380176784,1028.81707399649
313.825270721482,1028.8196483598
314.818257949808,1028.82198508939
315.910538378879,1028.83214019389
317.102110431167,1028.83203141704
317.896487974775,1028.83742797403
318.6908624588,1028.84204294728
320.180306370063,1028.85511921058
320.875376514476,1028.85610172133
321.967624866196,1028.86140091361
322.861278306481,1028.86468133399
324.152104218329,1028.87183172559
325.244335219116,1028.8769633322
326.237267474012,1028.88102962527
327.130902417007,1028.88447720401
327.627364601465,1028.8878497007
329.017452361633,1028.89589755415
329.613201391407,1028.89860512371
330.705403477697,1028.90295502145
331.797599781646,1028.90870004095
332.790500494933,1028.91164977695
333.783396429719,1028.91694334971
334.776287586145,1028.92067422572
335.570597070961,1028.92601399583
337.159206866696,1028.93183814698
337.8542198061,1028.9357777613
338.747804431048,1028.93922469203
339.442812019401,1028.94411304008
340.832820173137,1028.94964813826
341.726391898798,1028.95448981908
342.520674628636,1028.95748538107
343.314954301111,1028.96109453932
344.307799592398,1028.96499230067
345.399923895526,1028.97056829212
347.18702392439,1028.97963724003
347.981285636306,1028.98341375927
348.477697653932,1028.98566924697
350.264771030591,1028.99239413834
351.456144684778,1028.99780704883
352.349670412207,1029.00186664247
353.342472239064,1029.00202565789
354.930945228835,1029.01387699438
